0.999999, 0.999999, 0.999998
0.999999, 0.999999, 0.999998
0.0958406, 0.0597564, -0.00194979
1, 0.999999, 0.999999
1, 1, 1
0.226344, 0.137413, -1.66921e-012
0.999999, 0.999999, 0.999998
0.233356, 0.145853, 0.128691
1, 0.999999, 0.999998
0.999999, 0.999999, 0.999998
0.20769, 0.048694, -0.000363202
0.182599, 0.0705172, 2.15406e-005
0.056941, 0.0255519, -2.31941e-011
0.0544237, 0.0197974, -9.56929e-005
1, 0.999998, 0.999998
0.0659585, 0.0342984, -0.00151476
0.0562801, 0.0237777, -0.000885999
0.100521, 0.0350716, -1.82471e-005
0.492554, 0.468855, 0.459981
0.061963, 0.0337131, 1.65899e-011
0.229022, 0.0439469, -5.14758e-005
0.16575, 0.0536611, -8.77832e-005
0.142751, 0.0929936, 1.26505e-017
0.0992734, 0.0126396, -0.000111595
0.146324, 0.0207561, -1.30624e-005
0.319008, 0.158588, -5.66404e-017
1, 0.999998, 0.999998
0.287334, 0.0890946, 0.00011786
0.514605, 0.221041, 8.44711e-018
0.238548, 0.113901, -4.51142e-017
0.133557, 0.0631958, -0.00067438
0.188231, 0.0613622, 0.000565967
0.150191, 0.0777195, 2.35444e-005
0.11541, 0.0488949, -0.00132301
0.119087, 0.0661427, -0.000328111
0.296682, 0.142262, 0.000813133
0.253479, 0.0854874, -6.93889e-017
0.193076, 0.121376, -0.000830183
0.146205, 0.0465182, 0.000489288
0.145316, 0.0583389, -3.46945e-017
0.124773, 0.0545339, -0.000175647
0.150222, 0.0921607, -0.00621929
0.289624, 0.105466, -1.66701e-005
0.139781, 0.0548303, 0.00122057
0.0611539, 0.0274115, -0.000926865
0.343808, 0.290822, -4.62012e-005
0.0803022, 0.0141103, 5.08891e-005
0.0233377, 0.0120237, -1.55323e-016
0.270692, 0.138756, -8.32667e-017
0.123532, 0.0708649, 2.77556e-017
0.112188, 0.01785, 6.93889e-018
0.116998, 0.034204, -0.00364305
0.127134, 0.0398612, -0.000687987
0.0791914, 0.0218116, 0.000802051
0.135296, 0.0829729, -0.000594063
0.0296561, 0.0212536, 0.000274288
0.103281, 0.062053, -0.000184018
0.135795, 0.0502511, 9.48412e-006
0.0789705, 0.0519392, -0.00209817
0.166559, 0.105599, 6.93889e-017
